Huvudsektor,Län,Kommun,2010,2011,2012,2013,2014,2015,2016,2017
Egen uppvärmning av bostäder och lokaler,Västra Götalands län,Vänersborg,5714.704,4291.627,4030.41,3575.119,3168.928,3024.384,2784.883,2731.927
Egen uppvärmning av bostäder och lokaler,Västra Götalands län,Trollhättan,5233.103,3820.412,3578.649,3181.587,2793.138,2673.634,2385.634,2357.123
Egen uppvärmning av bostäder och lokaler,Västra Götalands län,Alingsås,5184.128,3859.74,3631.843,3247.651,2859.617,2733.414,2499.481,2462.247
Egen uppvärmning av bostäder och lokaler,Västra Götalands län,Borås,11177.27,8263.689,7714.4,6766.972,6005.654,5733.767,5171.658,5075.202
Egen uppvärmning av bostäder och lokaler,Västra Götalands län,Ulricehamn,6178.681,4732.813,4452.19,3944.166,3520.545,3351.877,3156.527,3082.588
Egen uppvärmning av bostäder och lokaler,Västra Götalands län,Åmål,4046.933,2957.73,2770.151,2459.132,2159.299,2067.77,1841.666,1818.307
Egen uppvärmning av bostäder och lokaler,Västra Götalands län,Mariestad,4500.461,3460.536,3233.458,2805.872,2532.066,2406.901,2256.883,2189.196
Egen uppvärmning av bostäder och lokaler,Västra Götalands län,Lidköping,5881.912,4597.403,4318.29,3784.76,3415.783,3243.485,3107.139,3013.112
Egen uppvärmning av bostäder och lokaler,Västra Götalands län,Skara,4251.963,3221.472,3032.294,2699.056,2394.557,2283.975,2126.131,2083.767
Egen uppvärmning av bostäder och lokaler,Västra Götalands län,Skövde,6637.072,4949.147,4658.24,4171.635,3677.762,3511.468,3231.947,3184.308
Egen uppvärmning av bostäder och lokaler,Västra Götalands län,Hjo,2100.236,1624.281,1529.496,1355.261,1213.62,1153.955,1099.43,1071.735
Egen uppvärmning av bostäder och lokaler,Västra Götalands län,Tidaholm,3344.522,2569.482,2409.027,2109.801,1893.05,1802.026,1689.392,1643.232
Egen uppvärmning av bostäder och lokaler,Västra Götalands län,Falköping,7739.273,6064.339,5695.39,4982.502,4500.479,4274.374,4093.692,3965.488
