Huvudsektor,Län,Kommun,2010,2011,2012,2013,2014,2015,2016,2017
El och fjärrvärme,Stockholms län,Nykvarn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El och fjärrvärme,Stockholms län,Täby,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El och fjärrvärme,Stockholms län,Danderyd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El och fjärrvärme,Stockholms län,Sollentuna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El och fjärrvärme,Stockholms län,Stockholm,1483942.0,1148757.0,989669.8,1076355.0,957847.2,1107820.0,1002744.0,960886.4
El och fjärrvärme,Stockholms län,Södertälje,246974.1,162590.1,167169.7,186282.1,154002.4,113293.7,96567.39,68335.27
El och fjärrvärme,Stockholms län,Nacka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El och fjärrvärme,Stockholms län,Sundbyberg,7626.52,951.3934,303.3202,171.1795,508.813,274.9355,3358.365,32.28699
El och fjärrvärme,Stockholms län,Solna,17854.34,7233.648,5051.402,5591.706,3174.765,1752.71,7962.469,1765.134
El och fjärrvärme,Stockholms län,Lidingö,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El och fjärrvärme,Stockholms län,Vaxholm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El och fjärrvärme,Stockholms län,Norrtälje,6123.264,1867.521,1617.252,2356.224,1435.094,2130.579,1898.622,2074.906
El och fjärrvärme,Stockholms län,Sigtuna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El och fjärrvärme,Stockholms län,Nynäshamn,3805.42,22691.74,37865.5,37245.5,39209.9,39209.9,39209.9,39209.9
Egen uppvärmning av bostäder och lokaler,Stockholms län,Upplands Väsby,3128.918,2420.789,2253.955,1943.774,1760.991,1680.942,1558.608,1520.107
Egen uppvärmning av bostäder och lokaler,Stockholms län,Vallentuna,7226.541,5322.256,4997.441,4522.593,3971.124,3815.485,3412.418,3409.845
Egen uppvärmning av bostäder och lokaler,Stockholms län,Österåker,10388.95,7611.764,7126.148,6395.815,5618.423,5400.437,4782.711,4770.786
Egen uppvärmning av bostäder och lokaler,Stockholms län,Värmdö,12033.51,9208.413,8563.526,7367.825,6649.913,6352.91,5820.397,5680.011
Egen uppvärmning av bostäder och lokaler,Stockholms län,Järfälla,4468.114,3340.356,3113.206,2739.093,2439.881,2340.316,2099.439,2073.699
Egen uppvärmning av bostäder och lokaler,Stockholms län,Ekerö,6088.153,4766.396,4449.162,3845.607,3491.694,3329.409,3128.912,3047.993
Egen uppvärmning av bostäder och lokaler,Stockholms län,Huddinge,9232.855,6807.517,6354.069,5627.806,4971.403,4776.007,4230.856,4196.93
Egen uppvärmning av bostäder och lokaler,Stockholms län,Botkyrka,6280.947,4775.548,4455.68,3903.612,3501.7,3349.519,3066.455,3015.388
